Organization,Followed On
Architypes Talent Ltd,Sat Mar 21 16:53:49 UTC 2026
Madrid Urban & Cities Design,Sat Mar 21 16:39:26 UTC 2026
Studio Tim Fu,Sat Mar 21 16:34:03 UTC 2026
Speckle,Sat Mar 14 22:53:02 UTC 2026
Harvard Urban AI,Fri Mar 06 08:23:23 UTC 2026
Council on Vertical Urbanism (CVU),Fri Feb 27 08:15:40 UTC 2026
Council on Vertical Urbanism(CVU) Iberia Chapter,Fri Feb 27 08:15:31 UTC 2026
City Syntax Lab,Tue Feb 17 19:16:11 UTC 2026
Urban Climate Design Lab,Tue Feb 17 19:14:55 UTC 2026
Centro de Urbanismo CDU,Sun Feb 01 13:32:01 UTC 2026
Cesium,Mon Dec 22 22:16:19 UTC 2025
Apache Sedona,Mon Dec 22 22:15:49 UTC 2025
Laboratorio de Ideas Sostenibles,Fri Dec 05 12:57:49 UTC 2025
Urban MOSAIC Lab,Fri Nov 28 13:15:06 UTC 2025
Máster en Ciudades Inteligentes y Sostenibles - UCM,Fri Nov 21 17:36:52 UTC 2025
IDDTEK,Thu Nov 20 18:01:33 UTC 2025
Systemiq Ltd.,Thu Nov 20 11:24:14 UTC 2025
KnowUrbanNet,Thu Nov 20 00:18:21 UTC 2025
Urban Studies Journal,Wed Nov 19 21:48:58 UTC 2025
"CITY: analysis of urban change, theory, action",Wed Nov 19 21:48:49 UTC 2025
MedCities / MedCités,Wed Nov 19 12:10:45 UTC 2025
NTT DATA,Tue Nov 18 21:00:00 UTC 2025
NUS Urban Analytics Lab,Mon Nov 17 14:13:14 UTC 2025
Google Maps Platform,Sat Nov 15 15:30:05 UTC 2025
"LA FACTORÍA, gestión y consultoría",Fri Nov 14 11:32:53 UTC 2025
ARNAIZ,Thu Nov 13 22:41:21 UTC 2025
Project for Public Spaces,Wed Nov 12 12:56:44 UTC 2025
Mott MacDonald,Fri Nov 07 22:21:13 UTC 2025
Urban Living Lab Center,Thu Oct 23 17:46:20 UTC 2025
Institute for Urban Excellence,Thu Oct 23 17:44:57 UTC 2025
European Urban Knowledge Network,Mon Oct 20 21:05:49 UTC 2025
VisualUrb,Sat Oct 18 09:41:28 UTC 2025
Azora,Thu Oct 16 16:37:28 UTC 2025
UNDP Careers,Thu Oct 16 15:41:41 UTC 2025
WSP,Wed Oct 15 16:45:30 UTC 2025
Harvard University Graduate School of Design,Sun Oct 12 14:42:30 UTC 2025
KPMG Real Estate,Sun Oct 12 14:34:23 UTC 2025
Muppy,Sun Oct 12 14:30:05 UTC 2025
Take Point Real Estate,Sun Oct 12 14:28:38 UTC 2025
Euro-Funding,Sun Oct 12 14:06:23 UTC 2025
Atelier itd,Sat Oct 11 14:54:59 UTC 2025
Centro de Innovación en Tecnología para el Desarrollo Humano itdUPM,Sat Oct 11 14:45:52 UTC 2025
Urban Partners,Fri Oct 10 14:17:19 UTC 2025
snapland,Thu Oct 09 15:32:57 UTC 2025
LAND,Wed Oct 08 18:45:15 UTC 2025
Finch,Wed Oct 08 16:13:50 UTC 2025
urbanAlibi,Tue Oct 07 20:48:00 UTC 2025
Healthy Cities.,Mon Oct 06 20:32:18 UTC 2025
Bax Innovation,Mon Oct 06 20:30:40 UTC 2025
CITYMAKERS,Mon Oct 06 12:22:30 UTC 2025
Ubilabs,Mon Oct 06 12:00:30 UTC 2025
DELT·A,Sun Oct 05 10:45:51 UTC 2025
Red Española de Ciudades Inteligentes (RECI),Sun Oct 05 10:38:46 UTC 2025
datos.gob.es - Dirección General del Dato,Sun Oct 05 10:30:45 UTC 2025
MB3,Sun Oct 05 10:30:36 UTC 2025
Chapman Taylor Madrid Studio,Sun Oct 05 10:29:20 UTC 2025
SICE,Sun Oct 05 10:22:38 UTC 2025
EY-Parthenon,Sun Oct 05 10:07:17 UTC 2025
MIT Norman B. Leventhal Center for Advanced Urbanism,Fri Oct 03 18:27:59 UTC 2025
C40 Cities Europe,Fri Oct 03 11:35:39 UTC 2025
