#,Author Name,Author Headline,Is Company,Author Profile URL,Post URL,Post Content,Time Posted,Shared Article Title,Shared Source Domain
1,Michele Berlato,Dottorando presso Università degli Studi di Padova,No,https://www.linkedin.com/in/ACoAAE6uQO4BWYo8-5ywv8jrrTkxnc6pxuGzXIs,https://www.linkedin.com/feed/update/urn:li:activity:7452250353271558144,"I've just released the prototype of my ifcSQL_Tools for QGIS!For anyone dealing with BIM and GIS interoperability, the plugin allows you to interact with IFC data stored in the ifcSQL database, directly within the QGIS environment.Key features include:- Load all your georeferenced IFC models and view them simultaneously on a map (in 2D or 3D)- Filter and display only the IFC classes that interest you- Delete the IFC models you no longer need from the databaseIn the attached GIF, you can see an example of a complete WWTP (Wastewater Treatment Plant) made up of 21 different IFC files, successfully imported and navigated in 3D.You can find the public repository along with the installation instructions here: https://lnkd.in/eUU-zkExThe tool is currently in the development phase. I invite you to test it out and share your feedback.This research work has been carried out during my PhD at University of Padova (Italy) together with multiutility company ETRA S.p.A. Società benefit. The implementation part has been carried out mainly during my stay at TU Delft as visiting PhD.I would like to thank: Prof. Carlo Zanchetta (University of Padova), Igino Taverna (ETRA S.p.A. Società benefit), Dr. Giorgio Agugiaro and Dr. Ken Arroyo Ohori (TU Delft). #BIMGIS #QGIS #IFC #ifcSQL #OpenBIM
              

        
          …ver más",1 día,,
2,Isma Sanz,Lead Designer + Head of Computational Design @ OBMI | Get my newsletter about Computational Design,No,https://www.linkedin.com/in/ACoAAA9X49gBZTkLpOGv8SWqMFR9hpxVZMfeNmE,https://www.linkedin.com/feed/update/urn:li:activity:7452344609445212160,"Computational designers are one of the most talented and passionate people in the AEC sector.But very often, they are isolated in their companies:- No colleagues who speak our language- No clear roadmap for their careers- No mentorshipI always thought this isolation was holding back so much potential...I figured that we needed a way to break down these silos and connect these brilliant minds together.So, a couple of months ago a decided to build a possible solution.I launched a global community specifically for computational designers.If you resonate with this idea, you can find more info about our community here! 👇https://tally.so/r/D4J4Zl#ComputationalDesign #DesignCommunity #TechCommunity #CareerGrowth #Mentorship #Networking
              

        
          …ver más",1 día,,
3,Thomas Chapman,LandArchTools | AEC Developer | Landscape Architect,No,https://www.linkedin.com/in/ACoAACy0ggsBVvKfs5_s9UXcYtTiN0JCRQWrPNw,https://www.linkedin.com/feed/update/urn:li:activity:7452219622541586433,"If my software can't handle 8+ hours of nightmare level stress testing, it doesn't ship.While building LandArchGrade I have subjected it to automated robot hell for 8+ hours a day for months leading up to the full release.I run these tests continually on spare hardware to track any degradation to performance, memory leaks or crashes.But mainly I do it because AEC software should be bulletproof, it is a matter of trust I want to have with anyone using my tools, that they survive whatever horrific trials you put it through, that they'll be a reliable partner 1hr before the deadline.LandArchGrade goes live early May, follow the link below to sign up for updates :)https://lnkd.in/e2B-ZSbQ
              

        
          …ver más",1 día,,
4,Ursula CardenasVignes,MSc Architektin & Stadtplanerin,No,https://www.linkedin.com/in/ACoAACnAMrQBuCjx8bDETMDa7k3tcxAU6tqvnLo,https://www.linkedin.com/feed/update/urn:li:activity:7451989173932249088,"Urban Planning meets Backend: Reading a city and reading a codebase are not that different.Territory, model systems, and the understanding on how people move through space. Turns out that's exactly the mental framework you need to build spatial tech.UP x Be can be found in Smart city pilot projects.(Source: BMWSB & KfW)There's no shortage of data. Cities are full of it:Sensor networks. Mobility flows. Land use patterns. Demographic layers.The problem isn't the data.The problem is that most smart city frameworks are built on „average city“ models. It optimize for efficiency and scale horizontally. But cities are vertical in complexity — every neighborhood, every migration pattern, every system is different.What's missing is personalization at the territorial level — tools that treat cities as living, context-specific systems, not templates to be replicated.That's the gap SIM by lTS builds.Image DesktopSetUp  By Author:What you're seeing on screen:→ Two interfaces in active development + slice of the backend that connects them.Built from scratch. Spatial thinking and real migration data.lünarTechStudio
              

        
          …ver más",2 días,,
5,Dr. Alvaro Cintas,Helping you master AI daily | Professor & Researcher,No,https://www.linkedin.com/in/ACoAAB4mdyIBzeE0zBsZ0870wxQNa_Z-E98q2vk,https://www.linkedin.com/feed/update/urn:li:activity:7449857516051693568,"🚨 BREAKING: Someone just built the exact tool Andrej Karpathy said someone should build.Your AI coding agent re-reads your entire codebase every session. Burning tokens on discovery before it can start working.Graphify fixes that. One command with any folder. A persistent knowledge graph comes out the other side.The part I find most interesting: it captures the “why” behind code, not just the “what.” Docstrings, design rationale from docs. All extracted and attached to the relevant code nodes.→ 71.5x fewer tokens per query→ 23 programming languages supported→ 26,000+ GitHub stars in 11 days→ Code stays local via tree-sitterWorks with Claude Code, Codex, Cursor, Gemini CLI, and about 8 other tools.100% open source (link in the comments)
              

        
          …ver más",1 semana,,
6,Ionut Ciuntuc,Civil Engineer & CAD/BIM modeler (that codes) | Co-founder Ciuntuc BIM Studio SRL | BubbleBIM and GraphML workflow automation developer,No,https://www.linkedin.com/in/ACoAABBfYnsBwpgsnXQk0J8qJuJabjFsvQNQyfA,https://www.linkedin.com/feed/update/urn:li:activity:7451140063591141376,"Imagine drawing your BIM requirements.Now imagine this drawing a neuronal graph - the digital DNA of your building.A shapeshifter.You make a change at one point, and it cascades through the entire model.Change a single interaxial dimension - it reacts elastically.Change the size or type of windows or doors - it adjusts.Change the entire architectural style - it adapts.Or the structural solution - it conforms.Now imagine your top project tailor fitted for a new beneficiary - in seconds.Geometry. Quantities. Cost calculations. A chain reaction.And this is before implementing any AI. Just humans in the loop.We live in the future!#BubbleBIMI honestly don't know how one can invoice a service done in seconds :-??""Who wants to work foreveeer?!"" Queen.
              

        
          …ver más",4 días,,
7,Nicole Keeney,Research software engineer building climate data tools and open science infrastructure,No,https://www.linkedin.com/in/ACoAACWrTu4BelQ_NhZFP_ovqj9HxLOTpuBbwiY,https://www.linkedin.com/feed/update/urn:li:activity:7450944603240697857,"I just rebuilt our entire climate data catalog from scratch, and made a cool web app to search and download from it! 😄 Link in the comments 👇  Everyone close to me knows I love my job, in part because I get a lot of space to learn and explore in my role. This past month, I went down a bit of a rabbit hole 😅 learning about STAC API. I ended up rebuilding our entire catalog— bulking it up to include all of Cal-Adapt’s 11 publicly available data collections, adding a bunch of cool new features & metadata, and learning a ton about database management and AWS along the way. And, I coded up a user-friendly web app that lets you search and download data from our catalog (built on top of Radiant Earth's awesome STAC Browser!).With this web app, you can see so much info about all our data that was previously pretty hard to access and search through, including: - metadata: scientific DOIs, licenses, geometry files 🌍 - the ability to query/filter data based on different features 💻  - easy download button for tabular and netcdf data 👇  - cute little animated icons for each dataset 🕺  - auto-generated code for each dataset that links to our custom open source python library for climate analysisAnd, I got to build it using open source tools, and make the final products open source as well! Yay! Would love to hear what you think!
              

        
          …ver más",5 días,,
8,George Kontsevik,Assistant Prof. in Urban Data Science at ITMO. | Lead Research Software Engineer,No,https://www.linkedin.com/in/ACoAACXDaMIBHi5NE3UxrJ4d7f5fV-jBHhRF99o,https://www.linkedin.com/feed/update/urn:li:activity:7450682132408156160,"☃️ Recently published in Applied Network Science Journal; Open Access; with full code and data available on GitHub.In remote urban agglomerations settlments depend on each other, so service accessibility is measured in hours or days, not in minutes.  However, such small networks of cities are vulnurable to environment-based percolations. In case of Arctic region — even simple seasonal temperature change lead to the reconfiguration of the whole netowork.Turns out, effects of it are not exactly the same for different areas — due to distribution of services, transportational systems and more. The full paper is available in Open Access at https://lnkd.in/eszzCH5SGitHub: https://lnkd.in/ecdBDe-X
              

        
          …ver más",5 días,,
9,Mariano Salas,GIS Product Owner & GIS Project Manager,No,https://www.linkedin.com/in/ACoAACAn5VUBhwZ0SgDawgSMOzdgMeUI3x7SFzw,https://www.linkedin.com/feed/update/urn:li:activity:7450215682815868928,"🤔  Sharing QGIS results with clients shouldn’t be this hardI often see teams exporting PDFs or screenshots from QGIS to share their work.But in many cases, what you actually want is:→ an interactive map→ accessible with a simple link→ no setup on the client side→ access can be secured with password protectionHere’s a simple example of a district heating network published with QGIS Cloud: 👉 https://lnkd.in/e6RN8VUAThis is directly connected to a QGIS project and can be updated at any time.Curious to hear how others are currently sharing their QGIS results.Solution 👉 #QGISCloudSourcepole
              

        
          …ver más",1 semana,,
10,Abhinav Bhardwaj,Building Something Cool | Architect | Urban and Computational designer | AI and Machine learning,No,https://www.linkedin.com/in/ACoAAClmqZ4BxwUStlBN8Qeuv9V1lor7q7hKe6I,https://www.linkedin.com/feed/update/urn:li:activity:7450088695828787200,"Claude skills for Architects! :)I have been exploring different possibilities lately, will all the developments I have been doing as well.These are the predefined knowledge systems which helps your automation workflows to really think and behave as an Architect, comprising 18 skills, ranging from code/compliance, environment/materials, Building envelope, spatial thinking, sustainability and production, etc, along with 7 python calculators!Github repo: https://lnkd.in/dMcS7tYAI hope it helps!
              

        
          …ver más",1 semana,,
