source_id,target_id,relationship,weight,label,bidirectional
tool_0,person_75,CREATED_BY,3,created by,0
tool_1,person_57,CREATED_BY,3,created by,0
tool_2,person_132,CREATED_BY,3,created by,0
tool_3,person_68,CREATED_BY,3,created by,0
tool_4,person_13,CREATED_BY,3,created by,0
tool_5,person_76,CREATED_BY,3,created by,0
tool_6,person_76,CREATED_BY,3,created by,0
tool_7,company_11,CREATED_BY,3,created by,0
tool_8,person_99,CREATED_BY,3,created by,0
tool_9,person_78,CREATED_BY,3,created by,0
tool_10,person_78,CREATED_BY,3,created by,0
tool_11,person_80,CREATED_BY,3,created by,0
tool_12,person_11,CREATED_BY,3,created by,0
tool_13,person_16,CREATED_BY,3,created by,0
tool_14,person_33,CREATED_BY,3,created by,0
tool_15,company_23,CREATED_BY,3,created by,0
tool_16,company_152,CREATED_BY,3,created by,0
tool_17,person_121,CREATED_BY,3,created by,0
tool_18,person_126,CREATED_BY,3,created by,0
tool_19,company_10,CREATED_BY,3,created by,0
tool_20,person_15,CREATED_BY,3,created by,0
tool_21,person_3,CREATED_BY,3,created by,0
tool_22,person_3,CREATED_BY,3,created by,0
tool_23,person_78,CREATED_BY,3,created by,0
tool_24,person_93,CREATED_BY,3,created by,0
tool_25,person_107,CREATED_BY,3,created by,0
tool_26,person_40,CREATED_BY,3,created by,0
tool_27,person_127,CREATED_BY,3,created by,0
tool_28,person_125,CREATED_BY,3,created by,0
tool_29,person_18,CREATED_BY,3,created by,0
tool_30,person_1,CREATED_BY,3,created by,0
tool_31,person_82,CREATED_BY,3,created by,0
tool_32,person_0,CREATED_BY,3,created by,0
tool_33,person_0,CREATED_BY,3,created by,0
tool_34,person_37,CREATED_BY,3,created by,0
tool_35,person_54,CREATED_BY,3,created by,0
tool_36,person_30,CREATED_BY,3,created by,0
tool_37,person_61,CREATED_BY,3,created by,0
tool_38,person_53,CREATED_BY,3,created by,0
tool_39,person_67,CREATED_BY,3,created by,0
tool_40,person_26,CREATED_BY,3,created by,0
tool_41,person_110,CREATED_BY,3,created by,0
tool_42,person_108,CREATED_BY,3,created by,0
tool_43,person_0,CREATED_BY,3,created by,0
tool_44,company_231,CREATED_BY,3,created by,0
