id,label,category,type,description,url,ia,acceso,subcategoria,sector,fecha,source_file,extra
subcat_0,Análisis normativo,subcategoria,topic,Temática: Análisis normativo,,,,,,,taxonomy,
subcat_1,Computer vision urbana,subcategoria,topic,Temática: Computer vision urbana,,,,,,,taxonomy,
subcat_2,Datos abiertos,subcategoria,topic,Temática: Datos abiertos,,,,,,,taxonomy,
subcat_3,Diseño paramétrico,subcategoria,topic,Temática: Diseño paramétrico,,,,,,,taxonomy,
subcat_4,Estadística espacial,subcategoria,topic,Temática: Estadística espacial,,,,,,,taxonomy,
subcat_5,Generación CAD,subcategoria,topic,Temática: Generación CAD,,,,,,,taxonomy,
subcat_6,Generación de plantas,subcategoria,topic,Temática: Generación de plantas,,,,,,,taxonomy,
subcat_7,Herramientas de desarrollo,subcategoria,topic,Temática: Herramientas de desarrollo,,,,,,,taxonomy,
subcat_8,IA / Machine Learning,subcategoria,topic,Temática: IA / Machine Learning,,,,,,,taxonomy,
subcat_9,Infraestructura de datos,subcategoria,topic,Temática: Infraestructura de datos,,,,,,,taxonomy,
subcat_10,Inteligencia territorial,subcategoria,topic,Temática: Inteligencia territorial,,,,,,,taxonomy,
subcat_11,Interoperabilidad BIM,subcategoria,topic,Temática: Interoperabilidad BIM,,,,,,,taxonomy,
subcat_12,Microclima urbano,subcategoria,topic,Temática: Microclima urbano,,,,,,,taxonomy,
subcat_13,Modelado 3D / Gemelos digitales,subcategoria,topic,Temática: Modelado 3D / Gemelos digitales,,,,,,,taxonomy,
subcat_14,Morfología urbana,subcategoria,topic,Temática: Morfología urbana,,,,,,,taxonomy,
subcat_15,Movilidad y accesibilidad,subcategoria,topic,Temática: Movilidad y accesibilidad,,,,,,,taxonomy,
subcat_16,Participación ciudadana,subcategoria,topic,Temática: Participación ciudadana,,,,,,,taxonomy,
subcat_17,Planificación IA,subcategoria,topic,Temática: Planificación IA,,,,,,,taxonomy,
subcat_18,Plataformas GIS,subcategoria,topic,Temática: Plataformas GIS,,,,,,,taxonomy,
subcat_19,Redes y grafos urbanos,subcategoria,topic,Temática: Redes y grafos urbanos,,,,,,,taxonomy,
subcat_20,Renderizado IA,subcategoria,topic,Temática: Renderizado IA,,,,,,,taxonomy,
subcat_21,Simulación ambiental,subcategoria,topic,Temática: Simulación ambiental,,,,,,,taxonomy,
subcat_22,Teledetección,subcategoria,topic,Temática: Teledetección,,,,,,,taxonomy,
subcat_23,Visualización,subcategoria,topic,Temática: Visualización,,,,,,,taxonomy,
subcat_24,Visualización 3D,subcategoria,topic,Temática: Visualización 3D,,,,,,,taxonomy,
sector_0,Arquitectura,sector,sector,Sector: Arquitectura,,,,,,,taxonomy,
sector_1,Cooperación internacional,sector,sector,Sector: Cooperación internacional,,,,,,,taxonomy,
sector_2,Datos / Analítica,sector,sector,Sector: Datos / Analítica,,,,,,,taxonomy,
sector_3,Empleo / Carreras,sector,sector,Sector: Empleo / Carreras,,,,,,,taxonomy,
sector_4,GIS / Geoespacial,sector,sector,Sector: GIS / Geoespacial,,,,,,,taxonomy,
sector_5,Inmobiliario,sector,sector,Sector: Inmobiliario,,,,,,,taxonomy,
sector_6,Otro,sector,sector,Sector: Otro,,,,,,,taxonomy,
sector_7,Paisajismo,sector,sector,Sector: Paisajismo,,,,,,,taxonomy,
sector_8,Patrimonio / Conservación,sector,sector,Sector: Patrimonio / Conservación,,,,,,,taxonomy,
sector_9,Smart Cities / Tecnología,sector,sector,Sector: Smart Cities / Tecnología,,,,,,,taxonomy,
sector_10,Sostenibilidad / Medio ambiente,sector,sector,Sector: Sostenibilidad / Medio ambiente,,,,,,,taxonomy,
sector_11,Transporte / Movilidad,sector,sector,Sector: Transporte / Movilidad,,,,,,,taxonomy,
sector_12,Urbanismo,sector,sector,Sector: Urbanismo,,,,,,,taxonomy,
sector_13,Vivienda,sector,sector,Sector: Vivienda,,,,,,,taxonomy,
program_0,3ds Max,programa,program,Software/plataforma: 3ds Max,,,,,,,taxonomy,
program_1,API,programa,program,Software/plataforma: API,,,,,,,taxonomy,
program_2,AWS,programa,program,Software/plataforma: AWS,,,,,,,taxonomy,
program_3,AccuCities,programa,program,Software/plataforma: AccuCities,,,,,,,taxonomy,
program_4,AnyLogic,programa,program,Software/plataforma: AnyLogic,,,,,,,taxonomy,
program_5,Apache DataFusion,programa,program,Software/plataforma: Apache DataFusion,,,,,,,taxonomy,
program_6,Apache Spark,programa,program,Software/plataforma: Apache Spark,,,,,,,taxonomy,
program_7,ArcGIS Pro,programa,program,Software/plataforma: ArcGIS Pro,,,,,,,taxonomy,
program_8,Archicad,programa,program,Software/plataforma: Archicad,,,,,,,taxonomy,
program_9,AutoCAD,programa,program,Software/plataforma: AutoCAD,,,,,,,taxonomy,
program_10,Autodesk Forma,programa,program,Software/plataforma: Autodesk Forma,,,,,,,taxonomy,
program_11,BIM,programa,program,Software/plataforma: BIM,,,,,,,taxonomy,
program_12,Blender,programa,program,Software/plataforma: Blender,,,,,,,taxonomy,
program_13,C#,programa,program,Software/plataforma: C#,,,,,,,taxonomy,
program_14,CARTO,programa,program,Software/plataforma: CARTO,,,,,,,taxonomy,
program_15,CesiumJS,programa,program,Software/plataforma: CesiumJS,,,,,,,taxonomy,
program_16,CityGML,programa,program,Software/plataforma: CityGML,,,,,,,taxonomy,
program_17,Claude,programa,program,Software/plataforma: Claude,,,,,,,taxonomy,
program_18,Claude AI,programa,program,Software/plataforma: Claude AI,,,,,,,taxonomy,
program_19,Cloudflare,programa,program,Software/plataforma: Cloudflare,,,,,,,taxonomy,
program_20,ComfyUI,programa,program,Software/plataforma: ComfyUI,,,,,,,taxonomy,
program_21,ControlNet,programa,program,Software/plataforma: ControlNet,,,,,,,taxonomy,
program_22,Decidim,programa,program,Software/plataforma: Decidim,,,,,,,taxonomy,
program_23,Digital Twin,programa,program,Software/plataforma: Digital Twin,,,,,,,taxonomy,
program_24,DuckDB,programa,program,Software/plataforma: DuckDB,,,,,,,taxonomy,
program_25,ENVI-met,programa,program,Software/plataforma: ENVI-met,,,,,,,taxonomy,
program_26,Figma,programa,program,Software/plataforma: Figma,,,,,,,taxonomy,
program_27,Finch3D,programa,program,Software/plataforma: Finch3D,,,,,,,taxonomy,
program_28,GIS,programa,program,Software/plataforma: GIS,,,,,,,taxonomy,
program_29,GPT-4,programa,program,Software/plataforma: GPT-4,,,,,,,taxonomy,
